time,open,high,low,close,volume
2026-01-01 00:00:00+00:00,50000.0,50120.0,49880.0,50000.0,1000
2026-01-01 00:01:00+00:00,50068.004160583056,50188.004160583056,49948.004160583056,50068.004160583056,1000
2026-01-01 00:02:00+00:00,50133.632225381676,50253.632225381676,50013.632225381676,50133.632225381676,1000
2026-01-01 00:03:00+00:00,50194.60282605213,50314.60282605213,50074.60282605213,50194.60282605213,1000
2026-01-01 00:04:00+00:00,50248.82027264801,50368.82027264801,50128.82027264801,50248.82027264801,1000
2026-01-01 00:05:00+00:00,50294.45810216506,50414.45810216506,50174.45810216506,50294.45810216506,1000
2026-01-01 00:06:00+00:00,50330.0318938574,50450.0318938574,50210.0318938574,50330.0318938574,1000
2026-01-01 00:07:00+00:00,50354.4584484083,50474.4584484083,50234.4584484083,50354.4584484083,1000
2026-01-01 00:08:00+00:00,50367.098971668755,50487.098971668755,50247.098971668755,50367.098971668755,1000
2026-01-01 00:09:00+00:00,50367.7845413643,50487.7845413643,50247.7845413643,50367.7845413643,1000
2026-01-01 00:10:00+00:00,50356.82284149308,50476.82284149308,50236.82284149308,50356.82284149308,1000
2026-01-01 00:11:00+00:00,50334.985895935795,50454.985895935795,50214.985895935795,50334.985895935795,1000
2026-01-01 00:12:00+00:00,50303.4792902998,50423.4792902998,50183.4792902998,50303.4792902998,1000
2026-01-01 00:13:00+00:00,50263.89410902543,50383.89410902543,50143.89410902543,50263.89410902543,1000
2026-01-01 00:14:00+00:00,50218.143503870306,50338.143503870306,50098.143503870306,50218.143503870306,1000
2026-01-01 00:15:00+00:00,50168.38642258603,50288.38642258603,50048.38642258603,50168.38642258603,1000
2026-01-01 00:16:00+00:00,50116.94153848433,50236.94153848433,49996.94153848433,50116.94153848433,1000
2026-01-01 00:17:00+00:00,50066.194812249094,50186.194812249094,49946.194812249094,50066.194812249094,1000
2026-01-01 00:18:00+00:00,50018.504371213225,50138.504371213225,49898.504371213225,50018.504371213225,1000
2026-01-01 00:19:00+00:00,49976.1064982634,50096.1064982634,49856.1064982634,49976.1064982634,1000
2026-01-01 00:20:00+00:00,49941.02647829838,50061.02647829838,49821.02647829838,49941.02647829838,1000
2026-01-01 00:21:00+00:00,49914.99785651122,50034.99785651122,49794.99785651122,49914.99785651122,1000
2026-01-01 00:22:00+00:00,49899.393327412974,50019.393327412974,49779.393327412974,49899.393327412974,1000
2026-01-01 00:23:00+00:00,49895.170009834335,50015.170009834335,49775.170009834335,49895.170009834335,1000
2026-01-01 00:24:00+00:00,49902.83128961815,50022.83128961815,49782.83128961815,49902.83128961815,1000
2026-01-01 00:25:00+00:00,49922.4067512145,50042.4067512145,49802.4067512145,49922.4067512145,1000
2026-01-01 00:26:00+00:00,49953.45099824194,50073.45099824194,49833.45099824194,49953.45099824194,1000
2026-01-01 00:27:00+00:00,49995.06141003573,50115.06141003573,49875.06141003573,49995.06141003573,1000
2026-01-01 00:28:00+00:00,50045.91412628536,50165.91412628536,49925.91412628536,50045.91412628536,1000
2026-01-01 00:29:00+00:00,50104.31682516747,50224.31682516747,49984.31682516747,50104.31682516747,1000
2026-01-01 00:30:00+00:00,50168.27619087646,50288.27619087646,50048.27619087646,50168.27619087646,1000
2026-01-01 00:31:00+00:00,50235.57738083542,50355.57738083542,50115.57738083542,50235.57738083542,1000
2026-01-01 00:32:00+00:00,50303.87232448036,50423.87232448036,50183.87232448036,50303.87232448036,1000
2026-01-01 00:33:00+00:00,50370.773333423764,50490.773333423764,50250.773333423764,50370.773333423764,1000
2026-01-01 00:34:00+00:00,50433.948291055865,50553.948291055865,50313.948291055865,50433.948291055865,1000
2026-01-01 00:35:00+00:00,50491.213626674464,50611.213626674464,50371.213626674464,50491.213626674464,1000
2026-01-01 00:36:00+00:00,50540.62136755811,50660.62136755811,50420.62136755811,50540.62136755811,1000
2026-01-01 00:37:00+00:00,50580.53679849138,50700.53679849138,50460.53679849138,50580.53679849138,1000
2026-01-01 00:38:00+00:00,50609.70363270189,50729.70363270189,50489.70363270189,50609.70363270189,1000
2026-01-01 00:39:00+00:00,50627.29409604936,50747.29409604936,50507.29409604936,50627.29409604936,1000
